CMDLINE python main.py
MEM 121.148438 1699376805.6217
MEM 126.105469 1699376805.7221
MEM 130.804688 1699376805.8225
MEM 134.992188 1699376805.9226
MEM 138.453125 1699376806.0231
MEM 48.050781 1699376806.1232
MEM 53.242188 1699376806.2239
MEM 63.355469 1699376806.3245
MEM 70.804688 1699376806.4250
MEM 82.554688 1699376806.5255
MEM 89.117188 1699376806.6258
MEM 94.492188 1699376806.7259
MEM 100.074219 1699376806.8260
MEM 115.386719 1699376806.9265
MEM 120.796875 1699376807.0270
MEM 125.867188 1699376807.1272
MEM 130.812500 1699376807.2277
MEM 134.867188 1699376807.3281
MEM 138.906250 1699376807.4286
MEM 48.050781 1699376807.5291
MEM 53.988281 1699376807.6296
MEM 62.222656 1699376807.7301
MEM 68.621094 1699376807.8306
MEM 79.792969 1699376807.9311
MEM 85.753906 1699376808.0316
MEM 91.035156 1699376808.1321
MEM 96.929688 1699376808.2326
MEM 102.027344 1699376808.3327
MEM 117.066406 1699376808.4333
MEM 121.566406 1699376808.5337
MEM 126.214844 1699376808.6341
MEM 130.992188 1699376808.7347
MEM 135.617188 1699376808.8351
MEM 139.566406 1699376808.9357
MEM 112.960938 1699376809.0367
MEM 48.050781 1699376809.1372
MEM 49.460938 1699376809.2376
MEM 53.671875 1699376809.3381
MEM 59.460938 1699376809.4386
MEM 61.832031 1699376809.5391
MEM 63.742188 1699376809.6401
MEM 66.179688 1699376809.7409
MEM 69.707031 1699376809.8415
MEM 78.285156 1699376809.9416
MEM 81.730469 1699376810.0422
MEM 84.921875 1699376810.1427
MEM 88.472656 1699376810.2433
MEM 91.914062 1699376810.3439
MEM 94.722656 1699376810.4444
MEM 97.687500 1699376810.5450
MEM 100.808594 1699376810.6456
MEM 113.761719 1699376810.7461
MEM 115.800781 1699376810.8474
MEM 118.156250 1699376810.9479
MEM 120.851562 1699376811.0485
MEM 123.609375 1699376811.1491
MEM 126.582031 1699376811.2501
MEM 129.273438 1699376811.3506
MEM 131.957031 1699376811.4512
MEM 134.574219 1699376811.5517
